key,file,english_text
fact.livelihood,public/audio/en/fact.livelihood.mp3,"What work does your family do?"
option.livelihood.fishing,public/audio/en/option.livelihood.fishing.mp3,"Fishing"
option.livelihood.plantation_worker,public/audio/en/option.livelihood.plantation_worker.mp3,"Plantation or estate work"
option.livelihood.allied_fish_worker,public/audio/en/option.livelihood.allied_fish_worker.mp3,"Allied fishery work"
option.livelihood.other,public/audio/en/option.livelihood.other.mp3,"Other work"
fact.registered_fisher,public/audio/en/fact.registered_fisher.mp3,"Is the person applying a registered fisher?"
fact.active_fisher,public/audio/en/fact.active_fisher.mp3,"Does the person applying still work as a fisher (an active fisher)?"
fact.bpl,public/audio/en/fact.bpl.mp3,"Is your family in the BPL (below poverty line) category?"
fact.bank_account,public/audio/en/fact.bank_account.mp3,"Does the person applying have a bank account?"
fact.traditional_fisher,public/audio/en/fact.traditional_fisher.mp3,"Is the person applying a registered traditional fisher?"
fact.kfwfb_member,public/audio/en/fact.kfwfb_member.mp3,"Is the person a member of the Kerala Fishermen's Welfare Fund Board (Matsyaboard)?"
fact.age,public/audio/en/fact.age.mp3,"How old is the person applying?"
option.age.0-22,public/audio/en/option.age.0-22.mp3,"Up to 22 years"
option.age.23-59,public/audio/en/option.age.23-59.mp3,"23 to 59 years"
option.age.60-60,public/audio/en/option.age.60-60.mp3,"60 years"
option.age.61-plus,public/audio/en/option.age.61-plus.mp3,"61 years or more"
fact.plantation_member,public/audio/en/fact.plantation_member.mp3,"Is the worker a member of the Small Plantation Workers Welfare Fund?"
fact.unable_due_infirmity,public/audio/en/fact.unable_due_infirmity.mp3,"Is the member unable to work due to infirmity?"
fact.permanent_disability,public/audio/en/fact.permanent_disability.mp3,"Does the member have a permanent disability?"
fact.daughter_marriage,public/audio/en/fact.daughter_marriage.mp3,"Is there a marriage to apply for: a woman member's own marriage, or the marriage of a member's daughter?"
fact.female_member,public/audio/en/fact.female_member.mp3,"Is the person applying a woman?"
fact.matsyafed_society_member,public/audio/en/fact.matsyafed_society_member.mp3,"Is the person a member of a fishermen cooperative society affiliated to Matsyafed?"
fact.kfwfb_contributions_paid,public/audio/en/fact.kfwfb_contributions_paid.mp3,"Are the Fishermen Welfare Fund Board contributions fully paid, with no arrears?"
fact.kfwfb_membership_years,public/audio/en/fact.kfwfb_membership_years.mp3,"How many years ago was the first Welfare Fund Board contribution paid?"
