key,file,malayalam_text
fact.livelihood,public/audio/ml/fact.livelihood.mp3,"നിങ്ങളുടെ കുടുംബം ഏത് തൊഴിലാണ് ചെയ്യുന്നത്?"
option.livelihood.fishing,public/audio/ml/option.livelihood.fishing.mp3,"മത്സ്യബന്ധനം"
option.livelihood.plantation_worker,public/audio/ml/option.livelihood.plantation_worker.mp3,"തോട്ടം / എസ്റ്റേറ്റ് ജോലി"
option.livelihood.allied_fish_worker,public/audio/ml/option.livelihood.allied_fish_worker.mp3,"മത്സ്യബന്ധന അനുബന്ധ ജോലി"
option.livelihood.other,public/audio/ml/option.livelihood.other.mp3,"മറ്റ് ജോലി"
fact.registered_fisher,public/audio/ml/fact.registered_fisher.mp3,"ആനുകൂല്യത്തിനായി അപേക്ഷിക്കുന്ന വ്യക്തി രജിസ്റ്റർ ചെയ്ത മത്സ്യത്തൊഴിലാളിയാണോ?"
fact.active_fisher,public/audio/ml/fact.active_fisher.mp3,"ആനുകൂല്യത്തിനായി അപേക്ഷിക്കുന്ന വ്യക്തി സജീവ മത്സ്യത്തൊഴിലാളിയാണോ?"
fact.bpl,public/audio/ml/fact.bpl.mp3,"കുടുംബം ബി.പി.എൽ വിഭാഗത്തിലാണോ?"
fact.bank_account,public/audio/ml/fact.bank_account.mp3,"ആനുകൂല്യത്തിനായി അപേക്ഷിക്കുന്ന വ്യക്തിക്ക് ബാങ്ക് അക്കൗണ്ട് ഉണ്ടോ?"
fact.traditional_fisher,public/audio/ml/fact.traditional_fisher.mp3,"ആനുകൂല്യത്തിനായി അപേക്ഷിക്കുന്ന വ്യക്തി രജിസ്റ്റർ ചെയ്ത പരമ്പരാഗത മത്സ്യത്തൊഴിലാളിയാണോ?"
fact.kfwfb_member,public/audio/ml/fact.kfwfb_member.mp3,"ആനുകൂല്യത്തിനായി അപേക്ഷിക്കുന്ന വ്യക്തി കേരള മത്സ്യത്തൊഴിലാളി ക്ഷേമനിധി ബോർഡ് അംഗമാണോ?"
fact.fisher_beneficiary_status,public/audio/ml/fact.fisher_beneficiary_status.mp3,"പെൻഷൻ അപേക്ഷകനോട് ഏത് ബാധകമാണ്?"
option.fisher_beneficiary_status.registered_fisher,public/audio/ml/option.fisher_beneficiary_status.registered_fisher.mp3,"രജിസ്റ്റർ ചെയ്ത മത്സ്യത്തൊഴിലാളി"
option.fisher_beneficiary_status.fisher_widow,public/audio/ml/option.fisher_beneficiary_status.fisher_widow.mp3,"മത്സ്യത്തൊഴിലാളിയുടെ വിധവ"
fact.age,public/audio/ml/fact.age.mp3,"ആനുകൂല്യത്തിനായി അപേക്ഷിക്കുന്ന വ്യക്തിയുടെ പ്രായം എത്രയാണ്?"
fact.small_plantation_worker,public/audio/ml/fact.small_plantation_worker.mp3,"തൊഴിലാളി ചെറുകിട തോട്ടം തൊഴിലാളി ക്ഷേമനിധിയുടെ പരിധിയിലെ തോട്ടത്തിൽ ജോലി ചെയ്യുന്നുണ്ടോ?"
fact.plantation_90_days,public/audio/ml/fact.plantation_90_days.mp3,"കഴിഞ്ഞ 12 മാസത്തിൽ കുറഞ്ഞത് 90 ദിവസം തോട്ടത്തിൽ ജോലി ചെയ്തിട്ടുണ്ടോ?"
fact.plantation_member,public/audio/ml/fact.plantation_member.mp3,"തൊഴിലാളി ചെറുകിട തോട്ടം തൊഴിലാളി ക്ഷേമനിധി അംഗമാണോ?"
fact.unable_due_infirmity,public/audio/ml/fact.unable_due_infirmity.mp3,"അശക്തി മൂലം അംഗത്തിന് ജോലി ചെയ്യാൻ കഴിയുന്നില്ലേ?"
fact.permanent_disability,public/audio/ml/fact.permanent_disability.mp3,"അംഗത്തിന് സ്ഥിരവൈകല്യമുണ്ടോ?"
fact.daughter_marriage,public/audio/ml/fact.daughter_marriage.mp3,"അപേക്ഷ പെൺമകളുടെ വിവാഹച്ചെലവുമായി ബന്ധപ്പെട്ടതാണോ?"
fact.female_member,public/audio/ml/fact.female_member.mp3,"അപേക്ഷിക്കുന്നത് ഒരു സ്ത്രീയാണോ?"
fact.fishing_sector,public/audio/ml/fact.fishing_sector.mp3,"മത്സ്യബന്ധനം കടലിലാണോ ഉൾനാടൻ മേഖലയിലാണോ?"
option.fishing_sector.marine,public/audio/ml/option.fishing_sector.marine.mp3,"കടൽ"
option.fishing_sector.inland,public/audio/ml/option.fishing_sector.inland.mp3,"ഉൾനാടൻ"
fact.matsyafed_society_member,public/audio/ml/fact.matsyafed_society_member.mp3,"മത്സ്യഫെഡുമായി അഫിലിയേറ്റ് ചെയ്ത മത്സ്യത്തൊഴിലാളി സഹകരണ സംഘത്തിൽ അംഗമാണോ?"
option.yes,public/audio/ml/option.yes.mp3,"അതെ"
option.no,public/audio/ml/option.no.mp3,"അല്ല"
option.unknown,public/audio/ml/option.unknown.mp3,"അറിയില്ല"
